version,ResponseId,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,MTurkCode
1,R_1rOMTWjdIWqC7z9,5,1,2,4,3,32,100,66,35,71,3,4,5,1,2,71,15,4,93,65,3,5,2,1,4,39,9,71,81,26,3,4,5,2,1,46,37,45,79,100,5088570
1,R_12mMuniDmSBjKup,3,1,5,2,4,43,81,17,70,34,1,3,5,2,4,94,51,20,86,34,1,5,4,2,3,93,20,54,85,64,2,1,3,4,5,91,94,77,69,6,6155024
1,R_2ONq7bgCZdJC7b7,4,1,5,2,3,50,62,39,40,58,1,4,5,2,3,65,49,39,88,57,4,5,2,1,3,37,27,63,82,48,4,3,5,2,1,62,61,51,79,100,5615270
1,R_3scSaYFHEkk5Nbk,4,1,2,5,3,55,100,89,44,70,3,4,5,1,2,62,44,44,91,74,4,5,2,1,3,38,24,65,78,53,3,4,5,2,1,67,48,34,79,100,1150444
1,R_1ohD95XM1QrLvMy,4,1,2,5,3,32,85,71,20,47,3,4,5,1,2,65,55,45,88,80,3,5,2,1,4,58,17,71,82,46,3,4,5,1,2,62,53,32,92,81,7038836
1,R_2aPOINvl4GalQbx,4,1,2,5,3,37,95,80,29,47,1,2,4,5,3,89,69,51,34,60,1,3,5,4,2,95,70,36,56,85,2,1,3,4,5,73,94,66,51,36,2434121
1,R_8nLXcbvzHj6SX3r,3,4,5,1,2,31,32,42,76,49,1,3,4,2,5,70,51,51,82,59,2,5,3,1,4,72,35,75,74,51,1,2,3,4,5,80,68,66,64,64,5948028
1,R_1Lt9SPDUn08XAn7,4,1,3,5,2,31,100,83,21,69,2,4,5,1,3,80,34,6,100,77,3,5,1,2,4,31,15,76,90,29,3,4,5,2,1,60,65,62,84,100,8757000
1,R_3DqJNBRAtPYRcot,3,1,2,5,4,50,100,81,11,31,2,3,5,1,4,83,57,14,98,32,3,5,1,2,4,30,7,74,55,21,3,4,5,2,1,50,36,16,78,100,8880826
1,R_3WbTPknWGXC6sU1,3,1,2,5,4,28,97,64,5,13,3,4,5,1,2,24,10,3,89,80,3,5,2,1,4,22,6,76,89,17,3,4,5,2,1,34,19,8,79,93,6985342
1,R_1jTdiXSVckeUOPu,2,1,3,5,4,45,100,67,51,51,3,5,4,1,2,54,18,36,100,89,4,5,2,1,3,51,24,84,100,66,3,4,5,2,1,63,42,23,89,100,9711569
1,R_eu4tQi98QfHZD7r,4,1,3,5,2,28,100,69,30,70,2,4,5,1,3,68,49,19,98,71,4,5,1,2,3,20,18,81,66,39,3,4,5,2,1,35,31,24,66,98,1146914
1,R_REwXvyvMUP8O52N,3,1,2,5,4,65,98,83,32,53,3,4,5,1,2,68,54,34,99,85,3,5,1,2,4,61,32,98,81,53,4,3,5,2,1,44,56,26,81,97,9557567
1,R_SE0Cd9DWHxuy33r,4,1,2,5,3,39,100,82,39,58,3,4,5,1,2,67,51,37,95,74,3,5,2,1,4,32,32,71,87,35,3,4,5,2,1,65,63,33,84,100,3634392
1,R_3EiHrxgM5OvwdDJ,3,1,2,4,5,37,95,45,31,45,2,4,5,3,1,47,32,33,83,71,4,5,2,1,3,21,10,78,93,43,4,3,5,2,1,61,52,44,55,88,5021207
1,R_YS2rYEfF2oKigbn,3,1,2,5,4,38,96,63,13,31,3,4,5,1,2,45,24,13,81,72,4,3,2,1,5,13,29,74,80,6,5,3,4,2,1,14,58,66,35,90,4263083
1,R_3PuID9M3d6gRXqa,5,1,2,4,3,8,100,76,27,58,2,4,5,1,3,78,23,0,90,56,3,5,1,2,4,51,11,87,77,26,3,4,5,2,1,48,27,20,64,99,8394712
1,R_1psrO1FsaQb3MJ1,4,1,2,5,3,29,100,80,0,49,3,4,5,1,2,50,20,0,100,73,5,4,2,1,3,0,20,75,100,49,3,4,5,2,1,52,25,0,76,100,5316649
1,R_pFN0UYNBaVjG7qF,4,1,2,5,3,44,100,70,8,51,2,4,5,1,3,51,18,18,87,88,3,5,2,1,4,43,7,74,86,10,3,4,5,2,1,45,14,7,75,90,6376174
1,R_1IZcuI6xqa0OSDf,4,1,2,5,3,37,100,82,20,68,3,4,5,1,2,55,21,8,89,67,3,5,1,2,4,47,6,87,72,32,3,4,5,2,1,63,37,29,81,100,1088768
1,R_3JKQgOg50yeXDvY,4,1,2,3,5,37,82,72,24,20,3,4,5,1,2,32,25,15,85,83,4,5,1,2,3,15,24,76,87,38,2,4,5,3,1,79,31,20,73,89,1164794
1,R_1FnBGLNCVZOVvj7,4,1,2,5,3,22,100,85,19,78,1,4,3,2,5,98,44,22,91,8,5,4,1,2,3,11,13,95,79,40,3,5,4,2,1,39,18,37,80,100,1172170
1,R_2YieHiadEzccA2m,4,1,2,5,3,49,100,82,31,56,2,4,5,1,3,67,46,32,85,60,3,5,2,1,4,40,17,51,83,32,3,4,5,2,1,47,43,39,73,97,2820712
1,R_qVO79zQ3QwfZGlb,3,1,2,5,4,48,100,66,25,45,3,4,5,1,2,76,42,26,93,86,4,3,2,1,5,28,28,64,73,18,3,5,4,2,1,57,27,52,76,100,8569582
1,R_2uvsb7BS7HWNfjX,3,1,2,5,4,56,100,81,43,59,3,4,5,1,2,51,51,24,97,84,4,5,2,1,3,34,25,62,83,50,3,4,5,2,1,54,36,29,79,100,8936181
2,R_2CHdXyzYUEfpziT,4,1,2,5,3,29,100,87,19,72,2,4,5,1,3,71,35,5,95,65,4,5,2,1,3,17,6,81,96,54,2,5,3,4,1,70,6,54,20,98,1094725
2,R_1eRXu44MPgJwClO,5,1,2,4,3,8,100,81,14,48,2,4,5,1,3,78,33,2,91,63,3,5,2,1,4,41,0,62,81,25,2,5,3,4,1,85,14,65,32,100,7262157
2,R_daFhTr4KlB0Qh8t,4,1,2,3,5,100,100,100,100,100,1,4,3,2,5,83,76,26,75,51,1,2,3,5,4,75,61,90,35,65,4,3,2,1,5,61,25,84,95,15,3620929
2,R_tK6FmxvwdcOFpyp,4,1,2,5,3,15,100,75,29,47,1,4,5,2,3,74,18,4,89,67,5,4,2,1,3,17,20,50,65,13,2,4,5,3,1,45,33,33,62,100,6025440
2,R_1Fm3Fml5m4lcRVc,2,1,4,5,3,43,100,20,20,43,2,3,4,1,5,86,34,16,97,0,3,5,2,1,4,40,0,72,99,40,2,3,5,4,1,74,65,55,60,98,6714216
2,R_1F3qCdRdVyGOKRW,4,1,2,5,3,16,100,83,6,49,3,4,5,1,2,37,19,1,85,66,3,5,2,1,4,57,1,67,88,39,4,3,5,2,1,47,62,40,80,100,2803816
2,R_3e2JjjtTfqnaUkZ,1,5,4,3,2,83,0,8,59,78,1,3,4,2,5,75,63,33,74,19,3,5,2,1,4,56,39,16,73,73,3,4,1,2,5,57,48,75,66,9,7158665
2,R_2cdMMCduJCe9wZH,4,1,2,5,3,100,100,100,100,100,3,4,5,1,2,68,51,12,92,81,4,5,2,1,3,43,17,82,91,63,4,3,5,2,1,41,67,24,81,100,1607640
2,R_wWPnKaELsgETu6t,4,1,2,5,3,45,100,77,13,61,2,4,5,1,3,73,17,0,68,45,4,5,2,1,3,15,0,58,70,7,2,5,4,3,1,42,12,20,26,100,3251119
2,R_1laQIELrqAFyI5e,4,1,2,5,3,44,100,83,35,70,3,4,5,1,2,67,57,44,91,82,5,4,1,2,3,22,35,92,80,67,2,5,4,3,1,82,18,33,48,100,4074608
2,R_yqkDzGV0kv1CgNP,1,5,3,4,2,100,0,51,23,79,3,2,1,4,5,50,75,100,25,0,5,2,3,4,1,0,79,50,22,100,1,3,5,2,4,100,50,0,77,21,9684425
2,R_2YX1nb3x5pH6hz6,4,1,2,5,3,43,96,78,30,63,3,4,5,1,2,63,39,25,84,65,4,5,2,1,3,29,54,61,76,25,3,4,5,2,1,49,47,29,71,87,6697034
2,R_8r0F0Vrkfw7uXSh,4,1,3,5,2,100,100,100,100,100,4,1,3,2,5,41,64,55,68,38,1,5,3,4,2,81,12,28,74,35,3,2,5,1,4,46,74,36,73,23,6985342
2,R_2ZJlkkzuXy0AJWD,2,1,3,5,4,84,100,68,68,68,4,1,2,5,3,77,93,93,78,92,1,5,3,2,4,96,75,85,97,87,1,2,4,3,5,97,97,87,87,74,4422575
2,R_2YM3oPVfnS8gz1C,5,1,2,3,4,23,100,28,22,29,1,4,5,3,2,78,35,17,38,68,5,3,1,2,4,11,39,65,58,26,2,3,4,5,1,58,49,38,27,75,9497051
2,R_0ptIWOUt9BAbCYF,4,1,2,5,3,57,100,86,18,70,3,4,5,1,2,68,38,18,91,63,3,5,2,1,4,38,7,61,75,22,1,4,5,3,2,62,45,26,57,61,2546251
2,R_Od2lu6mH0tK3ttL,2,1,3,5,4,66,100,80,7,71,2,4,5,3,1,70,36,3,61,95,3,4,1,2,5,56,31,86,77,24,2,5,4,3,1,67,22,33,58,85,6334136
2,R_QcbLLwj8WzCDT8Z,2,1,3,4,5,72,89,52,25,13,3,2,1,4,5,55,68,90,46,32,1,5,4,3,2,94,21,56,69,88,3,2,4,1,5,53,75,48,91,29,9697566
2,R_1IlX2KSBAsr7rQu,2,1,5,4,3,51,100,42,41,51,1,4,5,2,3,71,57,47,74,55,3,5,2,1,4,59,38,88,80,55,2,4,5,3,1,80,72,66,55,96,7263262
2,R_eaZGV13PJnzmIKt,3,1,2,5,4,48,100,67,25,62,3,4,5,1,2,62,38,34,81,64,4,5,2,1,3,55,0,61,82,60,3,4,5,2,1,68,58,57,77,77,5301932
2,R_3OoARsHo8ttnLxC,4,1,2,5,3,37,100,80,20,47,2,4,5,1,3,64,33,12,68,51,5,3,1,4,2,1,42,88,16,76,3,5,2,4,1,49,3,74,20,100,8587614
2,R_3k5thvikrPkE0fs,3,1,2,5,4,70,100,84,6,25,1,4,5,3,2,86,17,37,54,78,4,2,5,1,3,30,75,89,43,14,4,2,5,3,1,26,70,43,11,100,2688994
2,R_1DYGDrOqnOY79VQ,3,1,2,5,4,64,100,74,28,48,3,4,5,2,1,80,80,77,67,54,3,5,4,1,2,84,79,71,55,46,2,3,4,5,1,70,59,57,48,35,3647256
2,R_2rvff9IgIL1KGYB,3,1,4,5,2,7,100,39,11,62,2,4,5,1,3,65,23,6,70,85,2,5,3,1,4,66,16,42,79,35,2,5,3,4,1,63,31,64,41,76,1010421
2,R_BV4vK0WYOWklBst,3,1,2,5,4,51,98,72,22,42,3,4,5,1,2,54,38,22,83,68,3,5,1,2,4,48,4,87,69,28,2,5,4,3,1,72,22,35,42,90,5920937
3,n_ary_tree_ranking,4,1,2,5,3,4,1,2,5,3,2.5,4,5,1,2.5,2.5,4,5,1,2.5,3.5,5,2,1,3.5,3.5,5,2,1,3.5,3.5,3.5,5,2,1,3.5,3.5,5,2,1,
4,absolute_post_ranking,4,1,2,5,3,4,1,2,5,3,2,5,4,1,3,2,5,4,1,3,4,5,2,1,3,4,5,2,1,3,4,3,5,2,1,4,3,5,2,1,